Exit Time,Action,Ticker,Amount,Entry Price ($),Exit Price ($),Profit ($),Confidence (%)
2026-03-25 14:45:20.854667,BUY,BTC-USD,1.332100,71315.92,,0.00,11.4%
2026-03-25 14:46:21.778258,BUY,BTC-USD,0.066600,71334.47,,0.00,4.6%
2026-03-25 14:47:22.687933,BUY,BTC-USD,0.003300,71334.47,,0.00,56.8%
2026-03-25 22:25:15.417935,BUY,ETH-USD,2.187100,2171.85,,0.00,39.1%
2026-03-25 22:41:19.415342,BUY,ETH-USD,2.187400,2171.40,,0.00,6.4%
2026-03-25 23:33:26.250681,BUY,XAU-USD,0.892400,4554.21,,0.00,15.8%
2026-03-25 23:36:26.557019,BUY,XAU-USD,0.046900,4556.78,,0.00,3.1%
2026-03-26 11:20:13.264808,BUY,AUDCAD,49440.541200,0.96,,0.00,7.2%
2026-03-26 11:21:13.536306,BUY,AUDCAD,2472.001400,0.96,,0.00,4.7%
2026-03-26 13:10:57.717010,BUY,XAU-USD,10.530500,4462.28,,0.00,50.0%
2026-03-26 13:11:57.970912,BUY,XAU-USD,10.424700,4459.19,,0.00,22.2%
2026-03-26 13:12:58.231792,BUY,XAU-USD,10.322100,4456.04,,0.00,41.9%
2026-03-26 13:13:58.480568,BUY,XAU-USD,10.219600,4454.35,,0.00,45.8%
2026-03-26 13:15:12.868805,BUY,XAU-USD,10.160100,4459.82,,0.00,17.5%
2026-03-26 13:16:13.252135,BUY,XAU-USD,10.074400,4460.75,,0.00,13.7%
2026-03-26 13:17:13.473517,BUY,XAU-USD,9.957400,4458.80,,0.00,34.3%
2026-03-26 13:18:13.705563,BUY,XAU-USD,9.805800,4454.57,,0.00,11.3%
2026-03-26 13:19:13.948825,BUY,XAU-USD,9.747900,4457.10,,0.00,0.7%
2026-03-26 13:20:14.186895,BUY,XAU-USD,9.665400,4457.79,,0.00,3.8%
2026-03-26 13:21:14.430732,BUY,XAU-USD,9.514400,4455.01,,0.00,22.3%
2026-03-26 13:22:14.686614,BUY,XAU-USD,9.399900,4454.06,,0.00,18.5%
2026-03-26 13:23:14.940025,BUY,XAU-USD,9.341000,4455.17,,0.00,87.0%
2026-03-26 13:24:15.206775,BUY,XAU-USD,9.182500,4452.34,,0.00,44.7%
2026-03-26 13:25:15.453053,BUY,XAU-USD,9.156800,4454.50,,0.00,72.8%
2026-03-26 13:26:15.710675,BUY,XAU-USD,9.049600,4453.81,,0.00,17.7%
2026-03-26 13:27:15.956792,BUY,XAU-USD,8.924600,4452.59,,0.00,45.4%
2026-03-26 13:28:16.179106,BUY,XAU-USD,9.004900,4457.66,,0.00,16.1%
2026-03-26 13:29:16.405559,BUY,XAU-USD,8.814700,4454.71,,0.00,32.1%
2026-03-26 13:30:16.681813,BUY,XAU-USD,8.717500,4454.38,,0.00,4.1%
2026-03-26 13:31:16.941919,BUY,XAU-USD,8.753000,4457.46,,0.00,64.3%
2026-03-26 13:32:17.162267,BUY,XAU-USD,8.521700,4454.01,,0.00,28.5%
2026-03-26 13:33:17.435669,BUY,XAU-USD,8.390200,4452.94,,0.00,32.9%
2026-03-26 13:34:17.711263,BUY,XAU-USD,8.355100,4453.83,,0.00,27.7%
2026-03-26 13:35:17.960651,BUY,XAU-USD,8.345600,4455.29,,0.00,35.1%
2026-03-26 13:36:18.195279,BUY,XAU-USD,8.167200,4453.20,,0.00,3.1%
2026-03-26 13:37:18.425093,BUY,XAU-USD,8.145700,4454.00,,0.00,8.8%
2026-03-26 13:38:18.649414,BUY,XAU-USD,8.052100,4453.91,,0.00,14.1%
2026-03-26 13:39:18.885912,BUY,XAU-USD,8.009300,4454.51,,0.00,19.2%
2026-03-26 13:40:19.117701,BUY,XAU-USD,7.888500,4453.73,,0.00,22.3%
2026-03-26 13:41:19.362299,BUY,XAU-USD,7.657300,4450.99,,0.00,9.8%
2026-03-26 13:42:19.600971,BUY,XAU-USD,7.708400,4453.17,,0.00,30.7%
2026-03-26 13:43:19.819983,BUY,XAU-USD,7.682300,4454.01,,0.00,17.7%
2026-03-26 13:44:20.068645,SELL (Square Off - SL),XAU-USD,297.690200,4455.51,4445.70,-2918.94,100.0%
2026-03-26 13:44:20.264566,BUY,XAU-USD,289.894600,4445.70,,0.00,32.3%
2026-03-26 13:45:20.540737,BUY,XAU-USD,4.061700,4441.60,,0.00,50.3%
